cid,name,nameKor,styleTube,enhancerTube,coolerTube,relicTube
19100,19_deadlyattack,데들리 어택,no107_style,no107_enhancer,no107_cooler,
19101,19_criticalhit,크리티컬 히트,no108_style,no108_enhancer,no108_cooler,
19103,19_jakebounce,썩은폭탄,jake_B_style,jake_B_enhancer,jake_B_cooler,
19104,19_jakerange,썩은돌팔매,jake_R_style,jake_R_enhancer,jake_R_cooler,
19200,19_MustleMustle,머슬머슬,doncina01_style,doncina01_enhancer,doncina01_cooler,
19201,19_HustleHustle,허슬허슬,doncina02_style,doncina02_enhancer,doncina02_cooler,doncina02_relic
19105,19_Cleaner,청소부,cleaner_style,cleaner_enhancer,cleaner_cooler,cleaner_relic
19106,19_CleanerR,불량 청소부,cleaner_R_style,cleaner_R_enhancer,cleaner_R_cooler,cleanerR_relic
19107,19_mingkies,밍키즈,mingkies_style,minkies_enhancer,mingkies_cooler,
19108,19_Ailliy_00,에일리 00,Ailliy_00_style,Ailliy_00_enhancer,Ailliy_00_cooler,
19109,19_Ailliy_01,에일리 01,Ailliy_01_style,Ailliy_01_enhancer,Ailliy_01_cooler,
19110,19_Ailliy_02,에일리 02,Ailliy_02_style,Ailliy_02_enhancer,Ailliy_02_cooler,
19109,19_Ailliy_ready_00,에일리 레디 00,Ailliy_00_ready_style,Ailliy_00_ready_enhancer,Ailliy_00_cooler,
19110,19_Ailliy_ready_01,에일리 레디 01,Ailliy_01_ready_style,Ailliy_01_ready_enhancer,Ailliy_01_cooler,
19111,19_Bloom_00,블룸 00,19_Bloom_00_style,19_Bloom_00_enhancer,Bloom_00_cooler,
19112,19_Bloom_01,블룸 01,19_Bloom_01_style,19_Bloom_01_enhancer,Bloom_00_cooler,
19113,19_Bloom_02,블룸 02,19_Bloom_02_style,19_Bloom_02_enhancer,Bloom_01_cooler,
14100,14_cat_01_00,고양이1 스킬 00,13_cat_01_style_00_style,13_cat_01_enhancer_00_enhancer,13_cat_01_cooler_00_cooler,
14101,14_cat_01_01,고양이1 스킬 01,13_cat_01_style_01_style,13_cat_01_enhancer_01_enhancer,13_cat_01_cooler_01_cooler,13_cat_01
14102,14_cat_02_00,고양이2 스킬 00,13_cat_02_style_00_style,13_cat_02_enhancer_00_enhancer,13_cat_02_cooler_00_cooler,
14103,14_cat_02_00,고양이2 스킬 01,13_cat_02_style_00_style,13_cat_02_enhancer_00_enhancer,13_cat_02_cooler_00_cooler,
14104,14_pitbull_00,핏불 스킬 00,13_pitbull_00_style,13_pitbull_00_enhancer,13_pitbull_00_cooler,13_pitbull_01
14105,14_pitbull_01,핏불 스킬 01,13_pitbull_01_style,13_pitbull_01_enhancer,13_pitbull_01_cooler,13_pitbull_01
14106,14_pitbull_02,핏불 스킬 02,13_pitbull_02_style,13_pitbull_02_enhancer,13_pitbull_02_cooler,13_pitbull_02
