cid,nameEng,nameKor,grade,recognize,hp,recognizeValue,skillValue,dropTable
19100,SoVat,소뱃,Mob,1,,3,{(19_DeadlyAttack)},"{(1100,2),(1106,2),(2100,2),(2101,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19101,KoVat,코뱃,Mob,1,,3,{(19_CriticalHit)},"{(1104,2),(1109,2),(2102,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19102,Rat Boy,랫보이,Mob,1,,5,{(19_jakebounce)},"{(1102,2),(1108,2),(2106,2),(2107,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19103,Rat Man,랫맨,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19200,Great Fighter Don Cena,거대한 싸움꾼 돈시나,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
19104,Neat Sweep,깔끔한 청소부,Mob,1,,3,{(19_cleaner)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19105,Bad Cleaner,불량한 청소부 ,Mob,1,,5,{(19_cleanerR)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
19106,Mingkies,밍키즈,Mob,1,,30,{(19_mingkies)},"{(1101,2),(1107,2),(2103,2),(2104,2),(3100,2),(3101,2)}"
19107,Right-Hand Bloom,황제의 심복 블룸,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
19108,Head Hunter Ailliy,현상금 사냥꾼 에일리,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
13100,Cat Doctor,의사 고양이,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13101,Cat Nurse,간호사 고양이,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13102,PitBull Guard,핏불 경비원,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13103,Dr Owl,부영이 연구원,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13104,Dr Crow,까마귀 연구원,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13105,Flame Man Salamander,소각장 인부,Mob,1,,5,{(19_jakerange)},"{(1101,2),(1107,2),(2101,2),(2103,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1)}"
13106,Carbannog,실험체 카르바노그,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
13107,Officer Tag,연구 시설관 태그,Boss,1,,10,"{(19_MustleMustle),(19_HustleHustle)}","{(1103,2),(1105,2),(2105,2),(2106,2),(2108,2),(3100,1),(3101,1),(3102,1),(3103,1),(3104,1),(3105,1),(3106,1),(3107,1),(3108,1),(3109,1),(3110,1),(3111,1)}"
